/// Wait... Image compression... This may take a few minutes
67F2EC47|お待ち---画像圧縮とは---こに数分かかる場合があり
F3183D13|選択による名equals
/// Search by id, name
6D8F369B|検索id、氏名
/// Background:
8A15B0DF|背景：
///                                       Without alpha chanel
4933CD98|なくアルファ-シャネル
/// Length (bytes)
F9E93EC|長さ(バイト)
/// Standalone (WIN, MAC, LINUX)
49A132CF|スタンドアローン(WIN,MAC,LINUX)
/// iOS Package (.ipa)
57715F4E|iOSパッケージです。ipa)
/// Wait.. Making UnityProject..
9706AC3F|お待ち..作UnityProjectす。
/// Wait.. Making UnityProject.. 
F46222AE|お待ち..作UnityProjectす。 
/// Wait.. Making Unity Project.. 
A12C3A7B|お待ち..作Unityプロジェクト.. 
/// Wait.. Making Prefabs..
EDF536FB|お待ち..作Prefabsす。
/// Wait.. Making Prefabs.. 
5A9536FB|お待ち..作Prefabsす。 
/// Wait.. Making Unitypackage..
47F22DBE|お待ち..作Unitypackageす。
/// Wait.. Export Scripts..
42A7B955|お待ち..輸出スクリプト..
/// Wait.. Generate Scripts..
44C16C93|お待ち..生成スクリプト..
/// Wait.. Generate scripts.. 
44A0ECF3|お待ち..生成スクリプト.. 
/// Unity Project Version
8391C557|Unityプロジェクトのバージョン
/// Unity 2017.3
5E77CD61|一2017.3
/// Unity 5.6
E54C2A1D|一5.6
/// Information truncated for DEMO VERSION
60921137|情報を切り捨てのためのデモ版
///                                        Ver 4.39
E362BD80| Ver4.39
/// Show tree items id
E3024211|ショーツリーの項目id
///                                       Select by id or name:
C5DD27A1|選択によるidまたはname:
/// File:
1AF463E4|ファイル:
/// ID:
E7A29BDF|ID：
/// Waiting.. ScriptMapper.. Resources path update, items: 
187801F3|待って..ScriptMapper..資源のパスを更新項目： 
/// Temp directory
6D8B26B7|温度ディレクトリ
///                                        Ver 4.42
139FBD87| 見4.42
/// Apply changes - end
29AAA97D|申請の変更-終了
///                                       Apply changes (repack bundle, make APK, etc)
824F133F|申請の変化(再封入束、APKなど)
/// Without alpha channel
33A355B7|なくアルファチャンネル
/// Repack Bundles (.unity3d)
FBA2997F|再封入束です。unity3d)
/// Unpacker Magic Studio license:\r\n- View all resources\r\n- View Full Script source code (decompile to C#, allow save script)\r\n- Export resources: sounds (as WAV), images (as PNG, DDS, PVR), mesh (.obj, .asset), text, fonts, Scrips  (to C#)\r\n, Animations, Avatar\r\n- Export models to Unitypackeg (Model, Animations, Resources)\r\n- Replace assets content of game (replace Images, sounds, text, edit asset parametrs)\r\n- Generate Unity3D project from game \r\n  (Scenes, Scripts, Images, Sounds, Meshes, Text, Fonts, Material, Animations, Models and etc.)
7906005F|Unpackerは魔法のスタジオライセンス: \nビューの全てのリソース \nビューのフルスクリプトのソースコード(逆コンパイルをスレッドセーフで、C＃、よ保存のスクリプト) \n輸出源:音（WAV）、画像（PNG,DDS,PVR)、メッシュ(です。objます。資産では、テキスト、フォント、Scrips(C#) \n、アニメーションは、アバター \n輸出モデルのUnitypackeg(プラモデル、アニメーション、資源) \n-資産内容のゲーム（画像、音声、テキスト編集資産parametrs) \n-生Unity3Dプロジェクトからゲーム \n(シーンでは、スクリプト、画像、音声、メッシュは、テキスト、フォント、材料、アニメーションやモデルなど）
/// Wait... Save Bundle
4E93D81|お待ち---保存バンドル
/// Search end, find count: 
5714C4BF|検索終了、数： 
/// None
A6669136|なし
/// Saving RAM (export slower)
D8F87912|省RAM（輸出の鈍)
/// Cache time in seconds:
8AB7DCC5|キャッシュの時間(秒):
/// Begin search...
79A29A6|始まりの検索---
/// Filter (show/hide)
E6849FA9|フィルタ（表示-非表示を切り替える)
/// Search as HEX
8566509E|検索としての六角レンチ
///                                       Search as text UNICODE
EAE5E044|検索テキストとしてのUNICODE
///                                       Search as text UTF8
83F86ACE|検索テキストとしてUTF-8
///                                       Search as text ANSI
155E6689|検索テキストとしてANSI
/// Content Value
FBF592D0|コンテンツ価値
/// label1
E9E81D06|label1
/// ID
CE06B7E7|ID
/// Offset in asset
68CA2EB8|オフセットの資産
/// Status
8A82AD3D|状況
/// Double click of item - for show on main tree view
6781324B|ダブルクリックの項目のためにメインツリービュー
/// Search form
B1C0F49C|検索フォーム
///                                        Ver 4.48
139FBD81| Ver4.48
/// statusStrip2
4C885660|statusStrip2
/// Disable auo open result files
5530D0CE|無効にauo開結果ファイル
/// label21
241B8D1F|label21
/// Asset class name
C4A54A6D|資産クラス名
///                                        Ver 5.01
4154BD88| Ver5.01
/// Audio clip
36ACA52A|オーディオクリップ
/// label22
C6C301BA|label22
/// Save as (wav, mp3,ogg)
7297E26F|として保存(wav,mp3,ogg)
/// Settings
D5EB1CC9|設定
///                                       APK Sign settins
B0D618FC|APKサsettins
/// Import settings
800542D8|インポートの設定
///                                       Export && Save
83462991|輸出登録し
/// Repack
A77BEFBB|再封入
/// Apply all changes (repack bundle, make APK, etc)
AC5DC3F|適用すべての変化(再封入束、APKなど)
/// Asset (selected):
275F743F|資産選択なし）：
/// Save Asset (with headers)
141E9684|保存資産（ヘッダー)
/// Save Asset content
8A4E48F7|保存資産の内容
/// Save Asset sub content (binary conten of asset)
7DA1A698|保存資産のサブコンテンツ(バイナリcontenの資産)
/// Replace sub content in Asset (binary content)
96520274|交換サブコンテンツ資産(バイナリのコンテンツ)
/// Reset filter
19A5084C|リセットフィルター
/// Search now
13CA73A5|現在の検索
/// Assets only
E46F4BDE|資産のみ
/// Search form..
CC159FF1|検索フォーム..
/// Select next:
2C0421D5|次に選択:
/// Debug console
340EC2BB|デバッグコンソール
/// Warning! Server date and local date  not equal!!!\nFor the program to work, you need the date and time to be correct.(Server UTC date: 
7AA4D160|警告! サーバーの日は、現地の日付が等しくないです！！！\nプログラムの作業とクレジットカードが必要です日時が正しいです。（サーバー UTCの日時： 
/// , Local UTC date=
9669279D| 地UTCの日付=
/// Waiting.. AssetBundle.. Resources path update, items: 
A75C67B0|待って..AssetBundle..資源のパスを更新項目： 
///                                        Ver 5.03
4154BD86| Ver5.03
/// Export
C175ED3D|輸出
/// Replace sound
74EE86CF|従
/// With generate project
481459F7|共生プロジェクト
/// With export resources
2A463756|輸出の資源
/// Import bundle as Level
A199C855|輸入のプロフィールにアクセスしたレベル
/// Include Search in Scripts (c# script content)
24CD7A4|などの検索スクリプト(c#scriptコンテンツ)
/// Search as text
7CB022EA|検索テキストとして
/// Assets Bundle\n
5D8CF4D3|資産バンドル\n
/// Engine version: 
77B48C01|エンジンをバージョン: 
/// Bundle size: 
3CF3C1E8|バンドルサイズ： 
/// Signature: 
A0BFA96D|署名: 
/// Items: \n
1B77120F|項目: \n
/// For save changes to assets: press to button 'Apply changes'
D94ABDBB|のための変更を保存に資産を押すボタンを適用'
///                                        Ver 5.07
4154BD8A| Ver5.07
/// Generate Unity Project
7345665F|を統一プロジェクト
/// Export resources to directory
978ECC6B|輸出の資源をディレクトリ
/// Test\n123\n456
74488F59|試験\n百二十三\n四百五十六
/// Stop play
901BBCBB|自動再生を停止する
/// Bundle content
A374ECCF|バンドルコンテンツ
/// Lenght
48414E76|長さ
/// Show fast menu
751996A6|ショーの速メニュー
/// Disable dialog: For save changes to assets: press 'Apply Changes'
344B17D9|を無効にしダイアログ:変更を保存に資産を押して適用'
/// APK Sign settings
7E1E21E1|APKサインの設定
/// Unity 2018.1
47AACD61|一2018.1
/// Fast open (fast generate project)
63F8BA7A|高速open（高速生成プロジェクト）
/// Waiting.. open
A09AEE74|待って開..
/// Make prefab - ok
BD04F926|だプレハブ-ok
/// Make prefab - error
FF163379|だプレハブ-エラー
/// Make prefab - break
995DB01E|だプレハブ-休憩
/// Wait.. Making Prefab..
7223DB42|お待ち..作りプレハブ..
/// make parfab asset:
F5A47C38|作parfab資産
///                                      License for 'RePacker Tools' or 'Unpacker Studio' not activated
CC174422|ライセンス'RePackerツール"または"unpackerはスタジオ"活性化されません
///                                       Ver 5.20
581EBD89| Ver5.20
/// Prefab
48BB8036|プレハブ
/// GameObject
44A02777|オブジェクトを
/// Ignore StreamingAssets directory
55EFDF96|無視StreamingAssetsディレクトリ
/// Ignore scenes
A10E5601|無視するシーン
/// Async parse of Bundle
2112BD71|非同期解析のバンドル
/// Async parse of Assets
4ED032E0|非同期解析の資産
///                                   License for 'RePacker Tools' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
959D2470|ライセンス'RePackerツール"または"unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
///                                   License for 'Unpacker tools' or 'RePacker Tools' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
A0C17CAF|ライセンス'パーセントで示ツール"または"RePackerツール"または"unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
/// License for 'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
A951A366|ライセンス'unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
///                                   License for 'RePacker Tools' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated
B4622470|ライセンス'RePackerツール"または"unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されません
/// License for  'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
6A96853C|ライセンス'unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
///                                    Ver 5.22
581EBD87| Ver5.22
/// Async make of Assets
B4FA0730|非同期の資産
///                                    Ver 5.26
581EBD8B| Ver5.26
/// Speed options
78640A1|速オプション
/// When you enable async options, it will be faster, but errors are possible!
E7C89762|を有効にすると非同期オプションで高速になり、誤差が可能です！
/// Unitypackage - end with error
20E9686B|Unitypackage末データ抽出処理がエラー
///                                    Ver 6.02
4175BD87| Ver6.02
/// License for 'RePacker Tools' or 'Android Unpacker' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
793DDF5D|ライセンス'RePackerツール'または'Android unpackerは'または'unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
/// License for 'Unpacker tools' or 'Android Unpacker' or 'RePacker Tools' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
8943AD18|ライセンス'パーセントで示ツール'または'Android unpackerは'または'RePackerツール"または"unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
/// License for 'RePacker Tools' or 'Android Unpacker' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated
795CDF5D|ライセンス'RePackerツール'または'Android unpackerは'または'unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されません
/// License for  'Unpacker Tools' or 'Repacker Tools' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
6B253BF6|ライセンス'パーセントで示ツール"または"Repackerツール"または"unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
///                                  License for 'RePacker Tools' or 'Android Unpacker' or 'Unpacker Studio' not activated!
FED026C1|ライセンス'RePackerツール'または'Android unpackerは'または'unpackerはスタジオ"活性化されませんよ！
///                                   Ver 6.05
4175BD8C| Ver6.05
/// License for 'Unpacker tools' or 'RePacker Tools' or 'Unpacker Studio' or 'Android Unpacker' not activated!
31EDE709|ライセンス'パーセントで示ツール"または"RePackerツール"または"パーセントで示Studio'または'Android unpackerは"活性化します！
/// Export as ZIP archive
DA624C1A|輸出していZIPアーカイブ
/// dnSpy (.net 4.7.1 required)
CA04B12D|dnSpyます。純4.7.1要）
/// Double click of item - for apply select
BB185879|ダブルクリックの項目のための申請を選択
/// FullName
92659EB5|FullName
/// Select object
C408A146|選択オブジェクト
///  Ver 6.12
CCDABD87| Ver6.12
/// FlipY on Replace image
E15679C|FlipYに置き換え画像
/// Animation models
E3C4D931|アモデル
/// Primitive models
4CD6E253|プリミティブモデル
/// Import from:
997E9824|輸入:
/// Import ok, count: 
23FA00C6|輸入okで、数： 
/// License for 'Android Unpacker' or 'RePacker Tools' or 'Unpacker Studio' or 'Unpacker Editor Studio' not activated!
4A5CD18C|ライセンス'Android unpackerは'または'RePackerツール"または"unpackerはスタジオ"や"unpackerは編集スタジオ"活性化されませんよ！
///  Ver 6.17
CCDABD8A| Ver6.17
/// Wait animation type
2348A5F1|待機のアニメタイプ
/// Classic
3C00B964|クラシック
/// Girl
ED2019E9|女の子
/// Export resources for Repack
CB677E5E|輸出に資源の再封入
/// Import resources for Repack
9D9F8CAD|輸入資源の再封入
/// Additional Log
A29EBB83|追加のログ
/// Memory limit (Mb):
44D3354A|メモリ制限(Mb):
/// Impoer Ok:
4F8CE226|Impoer Ok:
/// Search result count:
2E03BEB6|検索結果数:
///  Ver 6.21
583FBD88| Ver6.21
/// Open as SketchFab.com model by URL
C7676174|開していSketchFab.com モデルのURL
/// Tools
E8B1C422|ツール
/// Unpack GZIP
F3CBFFB4|開梱GZIP
/// Unpack Brotli
37DF7A42|開梱Brotli
/// Unpack LZ4
B723F483|開梱LZ4
/// Unpack LZMA
6E844169|開梱LZMA
/// Search result:
7AD9B089|検索結果：
/// Save descriptions to file
E4B7253C|保存ファイルの記述
/// Export :
AFBC690B|輸出:
/// Waiting... open uasset: 
C804CEBE|待って---開放uasset: 
/// Waiting... open pak: 
16CA047B|待って...オパーク: 
/// License for  'GameRecovery' not activated!
2C3E7114|ライセンス'GameRecovery'活性化されませんよ！
/// License for 'RePacker Tools' or 'Android Unpacker' or 'Unpacker Studio' or 'GameRecovery' not activated!
E48E0C23|ライセンス'RePackerツール'または'Android unpackerは'または'unpackerはスタジオ"や"GameRecovery'活性化されませんよ！
/// License for 'Unpacker tools' or 'Android Unpacker' or 'RePacker Tools' or 'Unpacker Studio' or 'GameRecovery' not activated!
2627AE0E|ライセンス'パーセントで示ツール'または'Android unpackerは'または'RePackerツール"または"unpackerはスタジオ"や"GameRecovery'活性化されませんよ！
/// License for 'Unpacker Studio' or 'GameRecovery' not activated!
7EA6BE1C|ライセンス'unpackerはスタジオ"や"GameRecovery'活性化されませんよ！
/// License for 'RePacker Tools' or 'Android Unpacker' or 'Unpacker Studio' or 'GameRecovery' not activated
DC930C23|ライセンス'RePackerツール'または'Android unpackerは'または'unpackerはスタジオ"や"GameRecovery'活性化されません
/// License for  'Unpacker Studio' or 'GameRecovery' not activated!
528FF6F|ライセンス'unpackerはスタジオ"や"GameRecovery'活性化されませんよ！
/// License for 'Android Unpacker' or 'RePacker Tools' or 'Unpacker Studio' or 'GameRecovery' not activated!
4F91DB58|ライセンス'Android unpackerは'または'RePackerツール"または"unpackerはスタジオ"や"GameRecovery'活性化されませんよ！
/// License for  'Unpacker Tools' or 'Repacker Tools' or 'Unpacker Studio' or 'GameRecovery' not activated!
8ECD3E7F|ライセンス'パーセントで示ツール"または"Repackerツール"または"unpackerはスタジオ"や"GameRecovery'活性化されませんよ！
///  Ver 7.01
4196BD88| 見7.01
/// Dont select header edit item
1E1E6D12|ヴヘッダを選択し編集項目
/// Save selected item to file
A2DFCB1B|保存選択項目をファイル
/// Replace selected value from file
9F42A9B5|置き換え選択した値からファイル
/// DevXUnity-Game Recovery
A60E1A35|DevXUnity-ゲームの回復
/// Open Unity3D/Unreal game directory
89510D9F|開Unity3D/非現実的なゲームディレクトリ
/// Open UnrealEngine uasset
DF86BB4C|開UnrealEngine uasset
/// Open UnrealEngine PAK
242A89E2|開UnrealEngineパーク
/// Generate Scripts (simple) for Android IL2CPP  (C#) 
B0986638|生成スクリプト（簡単な）のためのAndroid IL2CPP(C#) 
/// Unreal Engine PAK
A41EC297|Unrealエンジンパーク
/// Unreal Engine Assets
BF46BB11|Unrealエンジンの資産
/// ExportUassetsFromUnrealEnginePAK to:
7DE1C29C|ExportUassetsFromUnrealEnginePAK：
/// ExportUassetsFromUnrealEnginePAK ok, count: 
310513B1|ExportUassetsFromUnrealEnginePAK okで、数： 
///  Ver 7.02
4196BD87| 見7.02
/// Export uassets from Unreal Engine PAK
926D75C7|輸出uassetsからUnrealエンジンパーク
///  Ver 7.05
4196BD8C| ビュー7.05
/// Disable auto open result files
8BEC4529|オオ結果ファイル
/// Make node dump
EF96D912|くノードダンプ
/// End download
8279FB4C|Endダウンロード
/// Error on download gameInfo
B3823311|エラーをダウンロードgameInfo
/// End search
F09E7D13|終了を検索
/// Begin request...
BF44FF53|開始要求の---
/// Total rows: 
BE2C451F|合計の列: 
/// License not activated! Subscription available only with license!
414DA863|ライセンスないです！ ご契約時のみライセンスです！
/// You do not have a subscription to access to the Games database.
C0ED97BD|お持ちでないご契約へのアクセスゲームデータベースです。
/// Begin download game information...
967F7E1C|ダウンロード開始のゲームインフォメーション---
/// Subscription payment
F4D99EC6|契約の支払
/// Subscription expiration:
8B7CAF2B|契約期限:
/// AppId
719FEDCB|AppId
/// Category
6482F24|カテゴリ
/// Company
4D421FF8|会社
/// Engine version
69B53BEE|エンジン版
/// Engine type
E47EA598|エンジン型式
/// Free access
CA53AB27|無料アクセス
/// Platform type
7D2BB440|プラットフォームの種類
/// DiaplayName
2B5669D1|DiaplayName
/// Platform
24D7A31|Platform
/// Engine
A0A26736|エンジン
/// GameVersion
25EF2059|GameVersion
/// Game version
9EB80D01|ゲーム版
/// EngineVersion
85F8F446|EngineVersion
/// BXmlSize
5DA5AB4A|BXmlSize
/// Preview size
2F7D1404|プレビューサイズ
/// GameSize
3A83AAA7|GameSize
/// Game size
488DA813|ゲームサイズ
/// Hide item
1EDFB100|非表示項目
/// Set free acess
6A513C5A|設定無料アセス
/// Всего 0
B290854D|合計0
/// Download and open game (WebGL, OSGJS)
B6F6F5A2|ダウンロードおよびドイツ系自動車部品メーカー新工(WebGL、OSGJS)
/// Open game structure preview
27781B61|ドイツ系自動車部品メーカー新構造のプレビュー
/// Open game web page
74261900|ゲーム開ウェブページ
/// Descriptions
C3DA8DBE|説明
/// Only IL2CPP
7AE55A1F|みIL2CPP
/// Only .NET Assembly
E73E3DC0|だけます。純組立
/// Game database search form (Full access by subscription)
81A21328|ゲームデータベース検索フォーム(フルアクセスによる契約)
/// Item not support export
F69FEAA9|項目をサポートしない輸出
/// You can save with conversion no more than once every two minutes.
53B9408B|保存できるのでと変換以内に一度のつながりました。
/// Object - not supported replace
A6E20CE7|オブジェクトなの交換
/// Original game info: 
B86AE29D|オリジナルゲーム情報： 
///  Ver 7.06
4196BD8B| 見7.06
/// Save asset header
EA33944D|保存資産のヘッダ
/// Save content (without contertaion)
67E5E759|保存コンテンツ(contertaion)
/// Export content (with convert format: png, wav, etc)
A4A40923|輸出コンテンツ(変換フォーマット:png、wavなど)
/// Replace binary content (binary, png, wav, etc)
10A45610|交換バイナリのコンテンツ(バイナリー、png、wavなど)
/// Save asset headers
EA40944D|保存資産のヘッダー
/// Save asset binary content
A93311C9|保存資産のバイナリのコンテンツ
/// Game Database
835ACED9|ゲームデータベース
/// Save as FSB5
DCCE8FE0|として保存FSB5
/// erro on download
7FE70CA|erro ータダウンロード
/// As source code (.cs)
69F7089C|としてのソースコードです。cs)
/// As plugin (.dll)
D525DF66|としてのプラグインです。dll)
/// Assemblies (for decompilation to .cs)
CA7EB231|アセンブリ(decompilationます。cs)
/// Restore type
71C7F906|復元タイプ
/// DownloadCounter=
B87065D3|DownloadCounter=
/// UserName=
882923D2|ユーザー名=
/// CreateDate=
91297A4C|CreateDate=
/// License=
1FCB93AA|ライセンス=
/// iID=
59C2B95D|iID=
///  Ver 7.08
4196BD81| 見7.08
/// Script generate settings
C3F188C3|スクリプトを設定
/// As source code (*.cs)
1DAD6532|としてのソースコード(*ます。cs)
/// Scripts
8E91B592|スクリプト
/// Script options
9FB6408|スクリプトのオプション
/// Project options
318C6B1|プロジェクトオプション
/// Remove script class (for exported to .cs) from plugin
3C84C921|削除スクリプトのクラス(ために輸出されます。cs)からプラグイン
/// Filter by class name:
A6BADEC6|フィルターによるクラス名：
/// as source code (*.cs)
F06810D1|としてのソースコード(*ます。cs)
/// as plugin (.dll)
D5593A86|としてのプラグインです。dll)
/// Reference for asset
D9FB6EBB|参考のために資産
/// Activate license..
B47EABE4|起動ライセンス..
/// Open buy page
D8BFF820|開を購入ページ
///  Ver 7.09
4196BD80| 見7.09
/// Find All references
70569210|すべての参考文献
/// Waiting.. MakePreview..
2F15684B|待って..MakePreviewす。
/// Waiting.. MakePreview-end
C4EC7D79|待って..MakePreview末
/// Disable export Shaders
FAB8FD38|無効に輸出シェーダー
/// PropertyDialog
609D9308|PropertyDialog
///  Ver 7.11
CCFBBD88| 見7.11
/// multiSelectTreeView21
5DCF7336|multiSelectTreeView21
/// Test Assets
B56CD8D7|試験資産
/// Wait.. Making Unity Project.. Make scripts for 
E7433FE6|お待ち..作り統一のプロジェクトをスクリプトのための 
/// Wait.. TestAssets..
5792227B|お待ち..TestAssetsす。
/// Wait.. TestAssets.. 
EAF2227B|お待ち..TestAssetsす。 
/// TestAssets - end
50D60E8F|TestAssets末
/// Disable auto-fix sources
266F7C01|オッソ
/// Only available for GameRecovery license.
A80A4C4|みGameRecoveryライセンスです。
/// Disable auto change to Shader links
7124447A|無効に自動変更シェーダのリンク
/// Allow delayed extraction of scripts
AC7A600E|を遅延引き出し法のスクリプト
///  Ver 7.14
CCFBBD8D| 見7.14
/// Waiting.. m_AssetToPrefab.. items: 
A08F9053|待って..m_AssetToPrefab..項目: 
/// Only available for DevX GameRecovery license type.
10630F7|みDevX GameRecoveryライセンスです。
///  not include to poroject
FFE943E5| なにporoject
/// Partial recovery of scripts is available only with the 'Allow delayed extraction of scripts'.
F7876C10|部分的な回復のスクリプトでのみご利用いただけに許さ遅延引き出し法のスクリプト"です。
///  Ver 7.15
CCFBBD8C| 見7.15
/// Unity 2018.3
5E74CD61|一2018.3
/// Not supported for this asset type
8726FB75|サポートされていないこの資産の種類
///  Ver 7.18
CCFBBD81| 見7.18
/// Wait... Check internet connection.. https://devxdevelopment.com...
5D8EC00D|お待ち---チェックインターネット接続す。https://devxdevelopment.com...
/// toolStrip11
8AB288BF|toolStrip11
/// Restore only fields (for deserialization and minimize scripts errors)
6D77C25E|復元分野(直列化復元のための、最小限のスクリプトのエラー
/// Allow to de-obfuscate assembly
5DBA5417|Allowデ蓑組立
/// Only for export to Unity 2018.3 or higher.
33783E79|け輸出統一2018.3ます。
/// Unity 2018.2
D30FCD61|一2018.2
///  Ver 7.21
5860BD88| 見7.21
/// Rules
1B78670F|ルール
/// Apply
62D0EDB8|適用
/// Open rules file
5CCEF1D3|オルファイル
/// Result:
8553A117|結果：
/// Save result
CFB24BA9|保存結果
/// label2
E9EB1D06|label2
/// Show offset
48A4BF19|ショーオフセット
/// Open binary file
D39D81F1|オバイナリファイル
/// Binary Analyzer Tools
82675C19|バイナリ解析ツール
/// Open binary analyzer tools
AE911DB5|オバイナリ解析ツール
///  Ver 7.22
5860BD87| 見7.22
/// Open Binary Analyzer tools
B87E468|オバイナリ解析ツール
/// Parce rules: 
103B800A|Parceル 
/// Auto apply
59FF7043|自動車用
/// Open binary analyzer
A95D268A|オバイナリ解析装置
///  Ver 7.29
5860BD80| 見7.29
/// Back
459BD839|裏
/// Next
EDB18BE4|次へ
/// ILSpy 5 (.net 4.6 required)
5EBB7E80|ILSpy5です。純4.6要）
/// exclude
DC7D8E08|除
///  make plugin (.dll)
DBEA7DF9| 作プラグインです。dll)
/// Reset
61854DA3|リセット
/// Set as Script assembly (.cs)
2F21ADEB|として設定スクリプト組み立てます。cs)
/// Set as Plugin (.dll)
92AE6425|として設定プラグインです。dll)
/// Exclude from project
5A6F5B4B|除外からプロジェクト
/// Mark class to decompilation (.cs)
B74012B|マーククラスdecompilationます。cs)
/// Remove from decompilation scripts
3EB9EA0E|から削除decompilationスクリプト
/// As Scripts (.cs)
72D1D23C|としてのスクリプトです。cs)
/// As Plugin (.dll)
ABEBBC76|としてのプラグインです。dll)
/// Exclude
DC7D92E8|除
/// Class to script
6675DB7B|クラススクリプト
/// Remove from decompilation
CD00C64F|から削除decompilation
/// Script Generate Options
25994BBC|スクリプトを生成オプション
/// Only available for 'DevX-GameRecovery' or 'DevX-GameModing' license type.
E005EA6|み'DevX-GameRecovery'または'DevX-GameModing'ライセンスです。
/// Not support for add child component.
BCFB679A|サポートしないリクエストを受け取った子コンポーネントです。
/// Selected items are not supported for copying.
FCD072D|選択した項目をサポートされていないコピーします。
/// Not selected asset to copy (Copy asset)
A86A2FA1|選択されていない資産へのコピー（コピー）
///  Ver 8.02
3FA7BD87| 見8.02
/// Dublicate asset
18F6772D|Dublicate資産
/// Add child asset with dublicate by selection dialog
934F5427|追加子供資産とdublicateによる選択ダイアログ
/// Copy asset
5BDBD338|コピー資産
/// Paste asset
315A3F47|貼り付け資産
/// Cubemap
2CEA422E|Cubemap
/// Texture2D
B0AAD29D|Texture2D
/// Sprites
910DB596|Sprites
/// Delete asset
C0E8BD20|資産の削除
/// Connection - not tested
EC7EAB33|接続-確認しておりません
/// Not selected owner asset to create GameObjext
3A35DCF0|選択されていないオーナーの資産をGameObjext
/// License for 'RePacker Tools' or 'Game Modding' or 'Unpacker Studio' not activated!
45794F93|ライセンス'RePackerツール"または"ゲームModding'または'unpackerはスタジオ"活性化されませんよ！
/// License for 'RePacker Tools' or 'Game Modding' or 'Android Unpacker' or 'Unpacker Studio' or 'GameRecovery' not activated!
9CE9AD2|ライセンス'RePackerツール"または"ゲームModding'または'Android unpackerは'または'unpackerはスタジオ"や"GameRecovery'活性化されませんよ！
/// License for 'Unpacker tools' or 'RePacker Tools' or 'Game Modding' or 'Unpacker Studio' or 'Android Unpacker' not activated!
C9AC09B3|ライセンス'パーセントで示ツール"または"RePackerツール"または"ゲームModding'または'パーセントで示Studio'または'Android unpackerは"活性化します！
/// Add new asset
5AD1691E|追加資産運用と公私年金
/// Add GameObject
DD4E575F|オブジェクトを追加
/// Paste link to asset
69A27794|ペーストへのリンクの資産
/// Clear item
334BAC85|ゆとり項目
/// Path to executable file, parameters on run: "assembly_name.dll" -p -o "output_dir"
1FA80710|パス実行可能ファイルは、パラメータに実行:"assembly_name.dll"-p-o"output_dir"
/// Custom extern decompiler
FF108242|カスタムextern decompiler
///  Ver 8.03
3FA7BD86| 見8.03
/// Decompiler type:
4B8D3813|Decompilerタイプ：
/// Decompiler type
B2DB3813|Decompilerタイプ
///  Ver 8.04
3FA7BD8D| 見8.04
/// Export format
35996432|出力形式
/// Options
A1D6A433|オプション
/// Export models
FA6DBF53|輸出モデル
/// ASCII
32DC01C9|ASCII
/// Binary
8E0E4D56|バイナリー
/// Export animations
7FA8B4A|アニメの輸出
/// Export textures
663535DC|輸出感
/// FbxExportSettings
5AFAA65F|FbxExportSettings
///  Ver 8.06
3FA7BD8B| 見8.06
/// Disable сustom swap file (in file stream)
B9CC2CB4|無効にカスタムスワップファイル(ファイルのストリーム)
/// This option enables automatic conversion of compiled shaders to Unity format (UnityLab)
1D03716|このオプションで自動変換のシェーダーを統一フォーマット(UnityLab)
/// Allow restore shader as UnityLab format (for GameRecovery license type)
B5ED1B5F|を復元シェーダーとしてUnityLabフォーマット(GameRecoveryライセンスタイプ)
/// Allow async export
61A5FC0F|る非同期の輸出
/// Unity 2019.1
47ABCD61|一2019.1
/// Disable header information for scripts (header on .cs files)
917298B4|無効にヘッダ情報のためのスクリプト(ヘッダです。csファイル)
/// Export multi sprite texture as separate sprite files
A44EA654|輸出は、マルチ-スプライト風合いのスプライトファイル
/// DevXC Control
66A43E3|DevXC制御
///  sec
2FD0C111| sec
/// DevXC code: 
8F41696B|DevXCコード: 
/// Execute
5730F05E|実行
/// Open devxc file
22315D|開devxcファイル
/// Save code
C098D69A|保存コード
/// Show output window
11C81E1A|ショー出力ウィンドウ
/// Help
D05AA806|助
/// Execute time:
47830FDC|実行時間：
///  Ver 9.01
3FC8BD88| 見9.01
/// Open current action history
D2A1EE39|開現在の行動履歴
/// DevXC Console
3BC20E5B|DevXCコンソール
/// DevXC-Scripts
7AC6FE2|DevXC-スクリプト
/// Make parfab asset:
F3637C58|作parfab資産
